"Plot Title: Injection_Temp_xn10_2022-07-06"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 11016513, SEN S/N: 11016513)","Temp, °C (LGR S/N: 11016513, SEN S/N: 11016513)","Coupler Detached (LGR S/N: 11016513)","End Of File (LGR S/N: 11016513)"
423,07/06/22 10:38:00 AM,64.818,5.860,,
424,07/06/22 10:38:10 AM,64.848,5.860,,
425,07/06/22 10:38:20 AM,64.828,5.860,,
426,07/06/22 10:38:30 AM,64.818,5.860,,
427,07/06/22 10:38:40 AM,64.818,5.860,,
428,07/06/22 10:38:50 AM,64.818,5.860,,
429,07/06/22 10:39:00 AM,64.808,5.860,,
430,07/06/22 10:39:10 AM,64.818,5.860,,
431,07/06/22 10:39:20 AM,64.808,5.860,,
432,07/06/22 10:39:30 AM,64.808,5.860,,
433,07/06/22 10:39:40 AM,64.838,5.860,,
434,07/06/22 10:39:50 AM,64.858,5.860,,
435,07/06/22 10:40:00 AM,64.818,5.860,,
436,07/06/22 10:40:10 AM,64.808,5.860,,
437,07/06/22 10:40:20 AM,64.798,5.860,,
438,07/06/22 10:40:30 AM,64.838,5.860,,
439,07/06/22 10:40:40 AM,64.818,5.860,,
440,07/06/22 10:40:50 AM,64.818,5.860,,
441,07/06/22 10:41:00 AM,64.798,5.860,,
442,07/06/22 10:41:10 AM,64.808,5.860,,
443,07/06/22 10:41:20 AM,64.818,5.860,,
444,07/06/22 10:41:30 AM,64.818,5.860,,
445,07/06/22 10:41:40 AM,64.808,5.860,,
446,07/06/22 10:41:50 AM,64.808,5.860,,
447,07/06/22 10:42:00 AM,64.808,5.860,,
448,07/06/22 10:42:10 AM,64.798,5.860,,
449,07/06/22 10:42:20 AM,64.811,5.962,,
450,07/06/22 10:42:30 AM,64.808,5.860,,
451,07/06/22 10:42:40 AM,64.791,5.962,,
452,07/06/22 10:42:50 AM,64.791,5.962,,
453,07/06/22 10:43:00 AM,64.801,5.962,,
454,07/06/22 10:43:10 AM,64.761,5.962,,
455,07/06/22 10:43:20 AM,64.791,5.962,,
456,07/06/22 10:43:30 AM,64.791,5.962,,
457,07/06/22 10:43:40 AM,64.811,5.962,,
458,07/06/22 10:43:50 AM,64.791,5.962,,
459,07/06/22 10:44:00 AM,64.801,5.962,,
460,07/06/22 10:44:10 AM,64.801,5.962,,
461,07/06/22 10:44:20 AM,64.811,5.962,,
462,07/06/22 10:44:30 AM,64.821,5.962,,
463,07/06/22 10:44:40 AM,64.791,5.962,,
464,07/06/22 10:44:50 AM,64.791,5.962,,
465,07/06/22 10:45:00 AM,64.791,5.962,,
466,07/06/22 10:45:10 AM,64.811,5.962,,
467,07/06/22 10:45:20 AM,64.801,5.962,,
468,07/06/22 10:45:30 AM,64.791,5.962,,
469,07/06/22 10:45:40 AM,64.801,5.962,,
470,07/06/22 10:45:50 AM,64.801,5.962,,
471,07/06/22 10:46:00 AM,64.801,5.962,,
472,07/06/22 10:46:10 AM,64.821,5.962,,
473,07/06/22 10:46:20 AM,64.811,5.962,,
474,07/06/22 10:46:30 AM,64.801,5.962,,
475,07/06/22 10:46:40 AM,64.811,5.962,,
