Wetland 12 reformated for r script,,,
no.,DateTime,Level_20220442,TEMPERATURE
286,6/10/2022 11:45,65.70538165,7.229
287,6/10/2022 12:00,65.69753833,7.221
288,6/10/2022 12:15,65.68969502,7.214
289,6/10/2022 12:30,65.68871461,7.206
290,6/10/2022 12:45,65.6808713,7.2
291,6/10/2022 13:00,65.67694964,7.193
292,6/10/2022 13:15,65.67008674,7.186
293,6/10/2022 13:30,65.65734136,7.181
294,6/10/2022 13:45,65.63773308,7.174
295,6/10/2022 14:00,65.60930108,7.169
296,6/10/2022 14:15,65.59165363,7.163
297,6/10/2022 14:30,65.59361446,7.159
298,6/10/2022 14:45,65.5828299,7.154
299,6/10/2022 15:00,65.58086907,7.15
300,6/10/2022 15:15,65.55537831,7.146
301,6/10/2022 15:30,65.53773086,7.143
302,6/10/2022 15:45,65.52988755,7.14
303,6/10/2022 16:00,65.52400507,7.137
304,6/10/2022 16:15,65.53478962,7.135
305,6/10/2022 16:30,65.53478962,7.132
306,6/10/2022 16:45,65.53871128,7.13
307,6/10/2022 17:00,65.53675045,7.13
308,6/10/2022 17:15,65.54361334,7.128
309,6/10/2022 17:30,65.55341748,7.128
310,6/10/2022 17:45,65.56616287,7.127
311,6/10/2022 18:00,65.58479073,7.128
312,6/10/2022 18:15,65.60930108,7.128
313,6/10/2022 18:30,65.62890936,7.128
314,6/10/2022 18:45,65.64557639,7.129
315,6/10/2022 19:00,65.65832178,7.132
316,6/10/2022 19:15,65.6740084,7.133
317,6/10/2022 19:30,65.69067544,7.135
318,6/10/2022 19:45,65.70636206,7.137
319,6/10/2022 20:00,65.71126413,7.14
320,6/10/2022 20:15,65.71322496,7.143
321,6/10/2022 20:30,65.71518578,7.147
322,6/10/2022 20:45,65.71812703,7.151
323,6/10/2022 21:00,65.72204868,7.156
324,6/10/2022 21:15,65.72106827,7.159
325,6/10/2022 21:30,65.72204868,7.164
326,6/10/2022 21:45,65.71812703,7.169
327,6/10/2022 22:00,65.71028372,7.175
328,6/10/2022 22:15,65.7024404,7.18
329,6/10/2022 22:30,65.70342082,7.185
330,6/10/2022 22:45,65.70440123,7.192
331,6/10/2022 23:00,65.7024404,7.197
332,6/10/2022 23:15,65.71322496,7.203
333,6/10/2022 23:30,65.71028372,7.209
334,6/10/2022 23:45,65.71420537,7.215
335,6/11/2022 0:00,65.70145999,7.22
336,6/11/2022 0:15,65.68675378,7.225
337,6/11/2022 0:30,65.66910633,7.231
338,6/11/2022 0:45,65.64949805,7.236
339,6/11/2022 1:00,65.64067433,7.241
340,6/11/2022 1:15,65.63283101,7.245
341,6/11/2022 1:30,65.62890936,7.25
342,6/11/2022 1:45,65.60832067,7.254
343,6/11/2022 2:00,65.5965557,7.258
344,6/11/2022 2:15,65.57694742,7.261
345,6/11/2022 2:30,65.55929997,7.264
346,6/11/2022 2:45,65.547535,7.266
347,6/11/2022 3:00,65.54655459,7.269
348,6/11/2022 3:15,65.55047624,7.271
349,6/11/2022 3:30,65.55831955,7.272
350,6/11/2022 3:45,65.55733914,7.273
351,6/11/2022 4:00,65.55929997,7.275
352,6/11/2022 4:15,65.57204535,7.274
353,6/11/2022 4:30,65.5828299,7.275
354,6/11/2022 4:45,65.57792783,7.274
355,6/11/2022 5:00,65.58086907,7.274
356,6/11/2022 5:15,65.5896928,7.273
357,6/11/2022 5:30,65.59459487,7.271
358,6/11/2022 5:45,65.60145777,7.27
359,6/11/2022 6:00,65.61420315,7.268
360,6/11/2022 6:15,65.62400729,7.266
361,6/11/2022 6:30,65.63283101,7.264
362,6/11/2022 6:45,65.63479184,7.261
363,6/11/2022 7:00,65.66518467,7.258
364,6/11/2022 7:15,65.6808713,7.255
365,6/11/2022 7:30,65.68479295,7.252
366,6/11/2022 7:45,65.69949916,7.247
367,6/11/2022 8:00,65.71224454,7.244
368,6/11/2022 8:15,65.72498992,7.24
369,6/11/2022 8:30,65.72891158,7.236
370,6/11/2022 8:45,65.74950027,7.232
371,6/11/2022 9:00,65.76714772,7.227
372,6/11/2022 9:15,65.77499104,7.222
373,6/11/2022 9:30,65.78283435,7.217
374,6/11/2022 9:45,65.79067766,7.213
375,6/11/2022 10:00,65.78773642,7.207
376,6/11/2022 10:15,65.80244263,7.202
377,6/11/2022 10:30,65.80146221,7.197
378,6/11/2022 10:45,65.8004818,7.192
379,6/11/2022 11:00,65.79754056,7.187
380,6/11/2022 11:15,65.79459931,7.181
381,6/11/2022 11:30,65.79165807,7.176
382,6/11/2022 11:45,65.79067766,7.171
383,6/11/2022 12:00,65.78969724,7.166
384,6/11/2022 12:15,65.78871683,7.16
385,6/11/2022 12:30,65.78381476,7.156
386,6/11/2022 12:45,65.77401062,7.151
387,6/11/2022 13:00,65.76224565,7.147
388,6/11/2022 13:15,65.74851986,7.142
389,6/11/2022 13:30,65.73773531,7.138
390,6/11/2022 13:45,65.72891158,7.135
391,6/11/2022 14:00,65.72400951,7.131
392,6/11/2022 14:15,65.70538165,7.127
393,6/11/2022 14:30,65.70145999,7.124
394,6/11/2022 14:45,65.68283212,7.122
395,6/11/2022 15:00,65.67989088,7.119
396,6/11/2022 15:15,65.66420426,7.117
397,6/11/2022 15:30,65.66322385,7.115
398,6/11/2022 15:45,65.65538053,7.113
399,6/11/2022 16:00,65.64753722,7.112
400,6/11/2022 16:15,65.64851764,7.111
401,6/11/2022 16:30,65.65243929,7.11
402,6/11/2022 16:45,65.65047846,7.111
403,6/11/2022 17:00,65.65047846,7.11
404,6/11/2022 17:15,65.66812592,7.11
405,6/11/2022 17:30,65.67204757,7.111
406,6/11/2022 17:45,65.67498881,7.112
407,6/11/2022 18:00,65.68577337,7.113
408,6/11/2022 18:15,65.70538165,7.114
409,6/11/2022 18:30,65.71126413,7.117
410,6/11/2022 18:45,65.72989199,7.118
411,6/11/2022 19:00,65.74263738,7.121
412,6/11/2022 19:15,65.74753944,7.124
413,6/11/2022 19:30,65.75342193,7.127
414,6/11/2022 19:45,65.76714772,7.13
415,6/11/2022 20:00,65.76812814,7.134
416,6/11/2022 20:15,65.77401062,7.138
417,6/11/2022 20:30,65.78381476,7.142
418,6/11/2022 20:45,65.77989311,7.147
419,6/11/2022 21:00,65.79067766,7.151
420,6/11/2022 21:15,65.78969724,7.157
421,6/11/2022 21:30,65.78871683,7.161
422,6/11/2022 21:45,65.79852097,7.167
423,6/11/2022 22:00,65.79754056,7.172
424,6/11/2022 22:15,65.78577559,7.177
425,6/11/2022 22:30,65.79557973,7.182
426,6/11/2022 22:45,65.79459931,7.187
427,6/11/2022 23:00,65.79165807,7.192
428,6/11/2022 23:15,65.80146221,7.198
429,6/11/2022 23:30,65.80440345,7.202
430,6/11/2022 23:45,65.7936189,7.206
431,6/12/2022 0:00,65.78087352,7.21
432,6/12/2022 0:15,65.77303021,7.214
433,6/12/2022 0:30,65.758324,7.218
434,6/12/2022 0:45,65.75244151,7.222
435,6/12/2022 1:00,65.74067655,7.224
436,6/12/2022 1:15,65.72891158,7.227
437,6/12/2022 1:30,65.72597034,7.23
438,6/12/2022 1:45,65.70538165,7.232
439,6/12/2022 2:00,65.7024404,7.234
440,6/12/2022 2:15,65.69655792,7.235
441,6/12/2022 2:30,65.68773419,7.237
442,6/12/2022 2:45,65.68479295,7.238
443,6/12/2022 3:00,65.68283212,7.238
444,6/12/2022 3:15,65.68871461,7.239
445,6/12/2022 3:30,65.68969502,7.239
446,6/12/2022 3:45,65.69263626,7.238
447,6/12/2022 4:00,65.69557751,7.239
448,6/12/2022 4:15,65.69263626,7.237
449,6/12/2022 4:30,65.69165585,7.237
450,6/12/2022 4:45,65.70145999,7.235
451,6/12/2022 5:00,65.70832289,7.232
452,6/12/2022 5:15,65.71126413,7.23
453,6/12/2022 5:30,65.71420537,7.228
454,6/12/2022 5:45,65.7161662,7.225
455,6/12/2022 6:00,65.72793117,7.222
456,6/12/2022 6:15,65.72695075,7.218
457,6/12/2022 6:30,65.73871572,7.214
458,6/12/2022 6:45,65.73773531,7.21
459,6/12/2022 7:00,65.74361779,7.206
460,6/12/2022 7:15,65.7445982,7.201
461,6/12/2022 7:30,65.74263738,7.196
462,6/12/2022 7:45,65.758324,7.191
463,6/12/2022 8:00,65.77597145,7.185
