Serial_number:
2020433
Project ID:

Location:

Well02
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well02,TEMPERATURE
1/13/2023,06:30:00 pm,0,68.3331,8.239
1/13/2023,06:45:00 pm,0,68.3418,8.243
1/13/2023,07:00:00 pm,0,68.3516,8.246
1/13/2023,07:15:00 pm,0,68.3658,8.250
1/13/2023,07:30:00 pm,0,68.3774,8.254
1/13/2023,07:45:00 pm,0,68.4030,8.257
1/13/2023,08:00:00 pm,0,68.3967,8.260
1/13/2023,08:15:00 pm,0,68.4168,8.263
1/13/2023,08:30:00 pm,0,68.4339,8.267
1/13/2023,08:45:00 pm,0,68.4397,8.270
1/13/2023,09:00:00 pm,0,68.4451,8.273
1/13/2023,09:15:00 pm,0,68.4691,8.276
1/13/2023,09:30:00 pm,0,68.4770,8.278
1/13/2023,09:45:00 pm,0,68.4830,8.281
1/13/2023,10:00:00 pm,0,68.4728,8.284
1/13/2023,10:15:00 pm,0,68.4717,8.287
1/13/2023,10:30:00 pm,0,68.4761,8.289
1/13/2023,10:45:00 pm,0,68.4713,8.291
1/13/2023,11:00:00 pm,0,68.4652,8.294
1/13/2023,11:15:00 pm,0,68.4713,8.296
1/13/2023,11:30:00 pm,0,68.4754,8.298
1/13/2023,11:45:00 pm,0,68.4743,8.299
1/14/2023,12:00:00 am,0,68.4524,8.298
1/14/2023,12:15:00 am,0,68.4479,8.296
1/14/2023,12:30:00 am,0,68.4352,8.293
1/14/2023,12:45:00 am,0,68.4176,8.288
1/14/2023,01:00:00 am,0,68.3899,8.284
1/14/2023,01:15:00 am,0,68.3728,8.279
1/14/2023,01:30:00 am,0,68.3542,8.275
1/14/2023,01:45:00 am,0,68.3412,8.272
1/14/2023,02:00:00 am,0,68.3406,8.268
1/14/2023,02:15:00 am,0,68.3254,8.264
1/14/2023,02:30:00 am,0,68.3029,8.262
1/14/2023,02:45:00 am,0,68.2976,8.257
1/14/2023,03:00:00 am,0,68.2620,8.250
1/14/2023,03:15:00 am,0,68.2685,8.241
1/14/2023,03:30:00 am,0,68.2758,8.231
1/14/2023,03:45:00 am,0,68.2708,8.221
1/14/2023,04:00:00 am,0,68.2661,8.212
1/14/2023,04:15:00 am,0,68.2702,8.201
1/14/2023,04:30:00 am,0,68.2880,8.186
1/14/2023,04:45:00 am,0,68.2969,8.172
1/14/2023,05:00:00 am,0,68.3093,8.155
1/14/2023,05:15:00 am,0,68.3163,8.145
1/14/2023,05:30:00 am,0,68.3246,8.138
1/14/2023,05:45:00 am,0,68.3376,8.131
1/14/2023,06:00:00 am,0,68.3531,8.125
1/14/2023,06:15:00 am,0,68.3573,8.120
1/14/2023,06:30:00 am,0,68.3681,8.115
1/14/2023,06:45:00 am,0,68.3808,8.110
1/14/2023,07:00:00 am,0,68.3886,8.105
1/14/2023,07:15:00 am,0,68.4085,8.101
1/14/2023,07:30:00 am,0,68.4266,8.098
1/14/2023,07:45:00 am,0,68.4465,8.095
1/14/2023,08:00:00 am,0,68.4638,8.093
1/14/2023,08:15:00 am,0,68.4786,8.092
1/14/2023,08:30:00 am,0,68.4927,8.092
1/14/2023,08:45:00 am,0,68.5082,8.097
1/14/2023,09:00:00 am,0,68.5187,8.103
1/14/2023,09:15:00 am,0,68.5250,8.110
1/14/2023,09:30:00 am,0,68.5260,8.117
1/14/2023,09:45:00 am,0,68.5212,8.124
1/14/2023,10:00:00 am,0,68.5202,8.133
1/14/2023,10:15:00 am,0,68.5103,8.145
1/14/2023,10:30:00 am,0,68.5045,8.157
1/14/2023,10:45:00 am,0,68.5032,8.167
1/14/2023,11:00:00 am,0,68.4860,8.179
1/14/2023,11:15:00 am,0,68.4779,8.189
1/14/2023,11:30:00 am,0,68.4674,8.198
1/14/2023,11:45:00 am,0,68.4499,8.208
1/14/2023,12:00:00 pm,0,68.4587,8.217
1/14/2023,12:15:00 pm,0,68.4766,8.224
1/14/2023,12:30:00 pm,0,68.5393,8.220
1/14/2023,12:45:00 pm,0,68.5316,8.169
1/14/2023,01:00:00 pm,0,68.5246,8.124
1/14/2023,01:15:00 pm,0,68.5028,8.083
1/14/2023,01:30:00 pm,0,68.4812,8.053
1/14/2023,01:45:00 pm,0,68.4993,8.035
1/14/2023,02:00:00 pm,0,68.4669,8.029
1/14/2023,02:15:00 pm,0,68.4535,8.031
1/14/2023,02:30:00 pm,0,68.4553,8.039
1/14/2023,02:45:00 pm,0,68.4560,8.050
1/14/2023,03:00:00 pm,0,68.4602,8.058
1/14/2023,03:15:00 pm,0,68.4520,8.064
1/14/2023,03:30:00 pm,0,68.4580,8.066
1/14/2023,03:45:00 pm,0,68.4430,8.070
1/14/2023,04:00:00 pm,0,68.4664,8.068
1/14/2023,04:15:00 pm,0,68.4591,8.058
1/14/2023,04:30:00 pm,0,68.4466,8.039
1/14/2023,04:45:00 pm,0,68.4215,8.014
1/14/2023,05:00:00 pm,0,68.3829,7.995
1/14/2023,05:15:00 pm,0,68.3970,7.982
1/14/2023,05:30:00 pm,0,68.3947,7.974
1/14/2023,05:45:00 pm,0,68.4065,7.969
1/14/2023,06:00:00 pm,0,68.4133,7.956
1/14/2023,06:15:00 pm,0,68.4330,7.944
1/14/2023,06:30:00 pm,0,68.4531,7.935
1/14/2023,06:45:00 pm,0,68.4695,7.928
1/14/2023,07:00:00 pm,0,68.4691,7.920
1/14/2023,07:15:00 pm,0,68.4866,7.913
1/14/2023,07:30:00 pm,0,68.4978,7.901
1/14/2023,07:45:00 pm,0,68.5000,7.893
1/14/2023,08:00:00 pm,0,68.5171,7.888
1/14/2023,08:15:00 pm,0,68.5507,7.883
1/14/2023,08:30:00 pm,0,68.5628,7.870
1/14/2023,08:45:00 pm,0,68.5848,7.861
1/14/2023,09:00:00 pm,0,68.6051,7.856
1/14/2023,09:15:00 pm,0,68.6300,7.848
1/14/2023,09:30:00 pm,0,68.6425,7.835
1/14/2023,09:45:00 pm,0,68.6625,7.826
1/14/2023,10:00:00 pm,0,68.6594,7.821
1/14/2023,10:15:00 pm,0,68.6698,7.814
1/14/2023,10:30:00 pm,0,68.6823,7.806
1/14/2023,10:45:00 pm,0,68.6774,7.799
1/14/2023,11:00:00 pm,0,68.6819,7.794
1/14/2023,11:15:00 pm,0,68.6930,7.784
1/14/2023,11:30:00 pm,0,68.6882,7.780
1/14/2023,11:45:00 pm,0,68.6747,7.774
1/15/2023,12:00:00 am,0,68.6672,7.769
1/15/2023,12:15:00 am,0,68.6515,7.767
1/15/2023,12:30:00 am,0,68.6315,7.762
1/15/2023,12:45:00 am,0,68.6113,7.757
1/15/2023,01:00:00 am,0,68.5991,7.748
1/15/2023,01:15:00 am,0,68.5937,7.746
1/15/2023,01:30:00 am,0,68.5841,7.738
1/15/2023,01:45:00 am,0,68.5676,7.729
1/15/2023,02:00:00 am,0,68.5491,7.720
1/15/2023,02:15:00 am,0,68.5459,7.717
1/15/2023,02:30:00 am,0,68.5350,7.708
1/15/2023,02:45:00 am,0,68.5376,7.698
1/15/2023,03:00:00 am,0,68.5356,7.688
1/15/2023,03:15:00 am,0,68.5176,7.680
1/15/2023,03:30:00 am,0,68.5062,7.670
1/15/2023,03:45:00 am,0,68.5039,7.658
1/15/2023,04:00:00 am,0,68.5035,7.653
1/15/2023,04:15:00 am,0,68.5123,7.645
1/15/2023,04:30:00 am,0,68.5075,7.637
1/15/2023,04:45:00 am,0,68.5162,7.631
1/15/2023,05:00:00 am,0,68.5180,7.623
1/15/2023,05:15:00 am,0,68.5270,7.618
1/15/2023,05:30:00 am,0,68.5404,7.614
1/15/2023,05:45:00 am,0,68.5536,7.609
1/15/2023,06:00:00 am,0,68.5422,7.607
1/15/2023,06:15:00 am,0,68.5564,7.606
1/15/2023,06:30:00 am,0,68.5623,7.600
1/15/2023,06:45:00 am,0,68.5785,7.598
1/15/2023,07:00:00 am,0,68.5910,7.594
1/15/2023,07:15:00 am,0,68.6092,7.591
1/15/2023,07:30:00 am,0,68.6310,7.587
1/15/2023,07:45:00 am,0,68.6644,7.581
1/15/2023,08:00:00 am,0,68.6921,7.579
1/15/2023,08:15:00 am,0,68.6998,7.577
1/15/2023,08:30:00 am,0,68.7038,7.576
1/15/2023,08:45:00 am,0,68.7072,7.575
1/15/2023,09:00:00 am,0,68.7202,7.577
1/15/2023,09:15:00 am,0,68.7242,7.580
1/15/2023,09:30:00 am,0,68.7307,7.588
1/15/2023,09:45:00 am,0,68.7520,7.596
1/15/2023,10:00:00 am,0,68.7587,7.606
1/15/2023,10:15:00 am,0,68.7379,7.618
1/15/2023,10:30:00 am,0,68.7391,7.624
1/15/2023,10:45:00 am,0,68.7172,7.631
1/15/2023,11:00:00 am,0,68.7149,7.641
1/15/2023,11:15:00 am,0,68.7003,7.646
1/15/2023,11:30:00 am,0,68.6858,7.655
1/15/2023,11:45:00 am,0,68.6902,7.666
1/15/2023,12:00:00 pm,0,68.6634,7.680
1/15/2023,12:15:00 pm,0,68.6465,7.696
1/15/2023,12:30:00 pm,0,68.6385,7.712
1/15/2023,12:45:00 pm,0,68.6144,7.729
1/15/2023,01:00:00 pm,0,68.5914,7.745
1/15/2023,01:15:00 pm,0,68.5789,7.761
1/15/2023,01:30:00 pm,0,68.5603,7.777
1/15/2023,01:45:00 pm,0,68.5440,7.790
1/15/2023,02:00:00 pm,0,68.5285,7.804
1/15/2023,02:15:00 pm,0,68.5381,7.816
1/15/2023,02:30:00 pm,0,68.5303,7.828
1/15/2023,02:45:00 pm,0,68.5222,7.840
1/15/2023,03:00:00 pm,0,68.4986,7.851
1/15/2023,03:15:00 pm,0,68.4649,7.860
1/15/2023,03:30:00 pm,0,68.4668,7.870
1/15/2023,03:45:00 pm,0,68.4725,7.880
1/15/2023,04:00:00 pm,0,68.4647,7.890
1/15/2023,04:15:00 pm,0,68.4574,7.898
1/15/2023,04:30:00 pm,0,68.4575,7.906
1/15/2023,04:45:00 pm,0,68.4264,7.913
1/15/2023,05:00:00 pm,0,68.4370,7.921
1/15/2023,05:15:00 pm,0,68.4501,7.929
1/15/2023,05:30:00 pm,0,68.4530,7.936
1/15/2023,05:45:00 pm,0,68.4682,7.942
1/15/2023,06:00:00 pm,0,68.4760,7.950
1/15/2023,06:15:00 pm,0,68.4928,7.955
1/15/2023,06:30:00 pm,0,68.5045,7.961
1/15/2023,06:45:00 pm,0,68.5214,7.967
1/15/2023,07:00:00 pm,0,68.5361,7.972
1/15/2023,07:15:00 pm,0,68.5344,7.978
1/15/2023,07:30:00 pm,0,68.5249,7.983
1/15/2023,07:45:00 pm,0,68.5555,7.989
1/15/2023,08:00:00 pm,0,68.5888,7.993
1/15/2023,08:15:00 pm,0,68.5864,7.998
1/15/2023,08:30:00 pm,0,68.6001,8.003
1/15/2023,08:45:00 pm,0,68.6163,8.007
1/15/2023,09:00:00 pm,0,68.6260,8.011
1/15/2023,09:15:00 pm,0,68.6366,8.015
1/15/2023,09:30:00 pm,0,68.6365,8.019
1/15/2023,09:45:00 pm,0,68.6527,8.023
1/15/2023,10:00:00 pm,0,68.6583,8.027
1/15/2023,10:15:00 pm,0,68.6638,8.029
1/15/2023,10:30:00 pm,0,68.6703,8.029
1/15/2023,10:45:00 pm,0,68.6747,8.027
1/15/2023,11:00:00 pm,0,68.6765,8.024
1/15/2023,11:15:00 pm,0,68.6622,8.021
