Plot Title: Injection_Temp_xn10_2022-07-01,,,,
#,"Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 11016513, SEN S/N: 11016513)","Temp, °C (LGR S/N: 11016513, SEN S/N: 11016513)",Coupler Detached (LGR S/N: 11016513)
415,7/1/2022 10:24,69.264,7.079,
416,7/1/2022 10:24,69.275,7.079,
417,7/1/2022 10:24,69.264,7.079,
418,7/1/2022 10:24,69.264,7.079,
419,7/1/2022 10:24,69.254,7.079,
420,7/1/2022 10:24,69.264,7.079,
421,7/1/2022 10:25,69.254,7.079,
422,7/1/2022 10:25,69.264,7.079,
423,7/1/2022 10:25,69.264,7.079,
424,7/1/2022 10:25,69.264,7.079,
425,7/1/2022 10:25,69.254,7.079,
426,7/1/2022 10:25,69.264,7.079,
427,7/1/2022 10:26,69.275,7.079,
428,7/1/2022 10:26,69.275,7.079,
429,7/1/2022 10:26,69.264,7.079,
430,7/1/2022 10:26,69.254,7.079,
431,7/1/2022 10:26,69.264,7.079,
432,7/1/2022 10:26,69.264,7.079,
433,7/1/2022 10:27,69.275,7.079,
434,7/1/2022 10:27,69.264,7.079,
435,7/1/2022 10:27,69.267,7.179,
436,7/1/2022 10:27,69.267,7.179,
437,7/1/2022 10:27,69.277,7.179,
438,7/1/2022 10:27,69.277,7.179,
439,7/1/2022 10:28,69.267,7.179,
440,7/1/2022 10:28,69.277,7.179,
441,7/1/2022 10:28,69.277,7.179,
442,7/1/2022 10:28,69.267,7.179,
443,7/1/2022 10:28,69.267,7.179,
444,7/1/2022 10:28,69.267,7.179,
445,7/1/2022 10:29,69.257,7.179,
446,7/1/2022 10:29,69.267,7.179,
447,7/1/2022 10:29,69.267,7.179,
448,7/1/2022 10:29,69.267,7.179,
449,7/1/2022 10:29,69.257,7.179,
450,7/1/2022 10:29,69.267,7.179,
451,7/1/2022 10:30,69.267,7.179,
452,7/1/2022 10:30,69.267,7.179,
453,7/1/2022 10:30,69.267,7.179,
