"","Reference","Site_Name","Location","latitude","longitude","Study.Years","CH4_umol.L","CO2_umol.L","Area_ha","Watertemp_c"
"236","Shirokova et al. (2013)","N24","Siberia",63.223767,75.721417,"2010","0.145","47.029",3,"12.3"
"237","Shirokova et al. (2013)","N25","Siberia",63.220367,75.719233,"2010","0.041","35.416",9,"12.8"
"238","Shirokova et al. (2013)","N26","Siberia",63.2185,75.722267,"2010","0.647","35.647",0.05,"13"
"239","Shirokova et al. (2013)","N28","Siberia",63.78403,75.64882,"2010","0.03","39.013",1,"14"
"240","Shirokova et al. (2013)","N29","Siberia",63.78275,75.65086,"2010","0.059","36.954",0.75,"14.7"
"241","Shirokova et al. (2013)","N30","Siberia",63.78219,75.65301,"2010","0.167","73.299",0.05,"16"
"242","Shirokova et al. (2013)","N31","Siberia",63.78305,75.6541,"2010","0.0191","29.276",0.01,"15.9"
"243","Shirokova et al. (2013)","N32","Siberia",63.78337,75.65144,"2010","0.605","45.931",0.1,"17.4"
"244","Shirokova et al. (2013)","N33","Siberia",63.7859,75.648317,"2010","0.0199","37.415",2,"16.3"
"245","Shirokova et al. (2013)","N38","Siberia",63.328733,75.352117,"2010","0.312","na",10,"16.6"
